              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     244.351     116.794      20.103      48.749
     246.352     116.755      20.130      48.748
     248.360     116.716      20.158      48.748
     250.368     116.679      20.185      48.747
     252.369     116.641      20.212      48.747
     254.377     116.616      20.239      48.746
     256.378     116.569      20.267      48.746
     258.386     116.534      20.294      48.745
     260.394     116.500      20.321      48.745
     262.395     116.466      20.348      48.744
