              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     354.496      -3.216      21.556      47.652
     356.504      -3.250      21.583      47.652
     358.512      -3.295      21.610      47.651
     360.513      -3.329      21.636      47.650
     362.521      -3.361      21.663      47.649
     364.529      -3.403      21.690      47.648
     366.530      -3.434      21.716      47.647
     368.539      -3.476      21.743      47.646
     370.540      -3.505      21.770      47.646
     372.548      -3.545      21.796      47.645
     374.557      -3.584      21.823      47.644
     376.558      -3.612      21.850      47.643
     378.567      -3.649      21.876      47.642
     380.568      -3.687      21.903      47.641
     382.577      -3.723      21.930      47.640
     384.578      -3.759      21.956      47.639
     386.587      -3.794      21.983      47.639
     388.589      -3.839      22.010      47.638
     390.598      -3.873      22.036      47.637
     392.608      -3.905      22.063      47.636
     394.609      -3.938      22.090      47.635
     396.611      -3.981      22.116      47.634
     398.621      -4.011      22.143      47.633
     400.623      -4.052      22.169      47.632
     402.632      -4.082      22.196      47.631
     404.635      -4.122      22.223      47.630
     406.644      -4.161      22.249      47.629
     408.647      -4.199      22.276      47.628
     410.657      -4.237      22.303      47.627
     412.659      -4.263      22.329      47.626
     414.662      -4.299      22.356      47.625
     416.672      -4.346      22.383      47.624
     418.675      -4.381      22.409      47.623
     420.685      -4.415      22.436      47.622
     422.688      -4.448      22.462      47.621
     424.691      -4.481      22.489      47.620
      -4.462       5.320      16.775      47.715
      -2.450       5.281      16.802      47.715
      -0.447       5.244      16.829      47.715
       1.557       5.207      16.855      47.716
       3.561       5.171      16.882      47.716
       5.572       5.136      16.909      47.716
       7.575       5.090      16.935      47.717
       9.579       5.056      16.962      47.717
      11.583       5.023      16.989      47.717
      13.594       4.979      17.016      47.717
      15.598       4.948      17.042      47.718
      17.601       4.905      17.069      47.718
      19.605       4.875      17.096      47.718
      21.616       4.834      17.123      47.718
      23.620       4.805      17.149      47.719
      25.623       4.766      17.176      47.719
      27.626       4.727      17.203      47.719
      29.637       4.689      17.229      47.719
      31.641       4.652      17.256      47.720
      33.644       4.615      17.283      47.720
      35.655       4.579      17.310      47.720
      37.659       4.544      17.336      47.720
      39.662       4.510      17.363      47.720
      41.665       4.465      17.390      47.720
      43.676       4.432      17.417      47.721
      45.680       4.399      17.443      47.721
      47.683       4.357      17.470      47.721
      49.694       4.326      17.497      47.721
      51.697       4.284      17.524      47.721
      53.701       4.244      17.550      47.721
      55.704       4.215      17.577      47.722
      57.715       4.176      17.604      47.722
      59.718       4.137      17.630      47.722
      61.721       4.100      17.657      47.722
      63.732       4.062      17.684      47.722
      65.735       4.026      17.711      47.722
      67.739       3.990      17.737      47.722
      69.749       3.955      17.764      47.722
      71.753       3.921      17.791      47.722
      73.756       3.887      17.817      47.722
      75.767       3.843      17.844      47.722
      77.770       3.811      17.871      47.722
      79.773       3.768      17.898      47.722
      81.776       3.738      17.924      47.723
      83.787       3.696      17.951      47.723
      85.790       3.667      17.978      47.723
      87.794       3.627      18.005      47.723
      89.804       3.588      18.031      47.723
      91.807       3.550      18.058      47.723
      93.811       3.512      18.085      47.723
      95.821       3.475      18.112      47.723
      97.825       3.439      18.138      47.723
      99.828       3.403      18.165      47.723
     101.838       3.368      18.192      47.723
     103.842       3.334      18.219      47.723
     105.845       3.301      18.245      47.723
     107.856       3.257      18.272      47.723
     109.859       3.225      18.299      47.723
     111.862       3.183      18.325      47.722
     113.865       3.152      18.352      47.722
     115.876       3.111      18.379      47.722
     117.879       3.082      18.406      47.722
     119.883       3.042      18.432      47.722
     121.893       3.003      18.459      47.722
     123.897       2.965      18.486      47.722
     125.900       2.928      18.513      47.722
     127.911       2.891      18.539      47.722
     129.914       2.855      18.566      47.722
     131.917       2.819      18.593      47.722
     133.928       2.784      18.619      47.722
     135.931       2.751      18.646      47.722
     137.935       2.706      18.673      47.721
     139.938       2.673      18.700      47.721
     141.949       2.642      18.726      47.721
     143.952       2.599      18.753      47.721
     145.956       2.569      18.780      47.721
     147.966       2.528      18.807      47.721
     149.970       2.488      18.833      47.720
     151.973       2.459      18.860      47.720
     153.977       2.421      18.887      47.720
     155.988       2.382      18.913      47.720
     157.991       2.345      18.940      47.720
     159.994       2.309      18.967      47.720
     162.005       2.273      18.994      47.719
     164.009       2.238      19.020      47.719
     166.012       2.203      19.047      47.719
     168.016       2.169      19.074      47.719
     170.027       2.125      19.101      47.718
     172.031       2.092      19.127      47.718
     174.034       2.050      19.154      47.718
     176.038       2.019      19.181      47.718
     178.049       1.977      19.208      47.717
     180.052       1.948      19.234      47.717
     182.056       1.908      19.261      47.717
     184.060       1.868      19.288      47.717
     186.071       1.841      19.314      47.716
     188.075       1.803      19.341      47.716
     190.078       1.766      19.368      47.716
     192.082       1.729      19.395      47.715
     194.094       1.693      19.421      47.715
     196.097       1.658      19.448      47.715
     198.101       1.613      19.475      47.715
     200.105       1.579      19.501      47.714
     202.116       1.546      19.528      47.714
     204.120       1.503      19.555      47.714
     206.124       1.471      19.582      47.713
     208.128       1.429      19.608      47.713
     210.132       1.399      19.635      47.713
     212.144       1.359      19.662      47.712
     214.148       1.330      19.688      47.712
     216.152       1.290      19.715      47.711
     218.156       1.252      19.742      47.711
     220.160       1.215      19.769      47.711
     222.172       1.177      19.795      47.710
     224.176       1.141      19.822      47.710
     226.180       1.105      19.849      47.709
     228.185       1.070      19.875      47.709
     230.189       1.036      19.902      47.709
     232.193       0.991      19.929      47.708
     234.205       0.959      19.956      47.708
     236.210       0.926      19.982      47.707
     238.214       0.884      20.009      47.707
     240.219       0.854      20.036      47.706
     242.223       0.812      20.062      47.706
     244.227       0.783      20.089      47.706
     246.232       0.743      20.116      47.705
     248.244       0.704      20.143      47.704
     250.249       0.666      20.169      47.704
