CMDLINE /users/p6065/anaconda3/envs/supergeo/bin/python3.9 seqproc_test.py
MEM 0.011719 1669893112.8741
MEM 12.531250 1669893112.9745
MEM 19.296875 1669893113.0747
MEM 24.835938 1669893113.1750
MEM 30.980469 1669893113.2753
MEM 34.914062 1669893113.3756
MEM 38.609375 1669893113.4759
MEM 40.156250 1669893113.5762
MEM 40.414062 1669893113.6765
MEM 40.414062 1669893113.7767
MEM 40.703125 1669893113.8772
MEM 43.800781 1669893113.9776
MEM 47.195312 1669893114.0779
MEM 51.039062 1669893114.1783
MEM 55.089844 1669893114.2786
MEM 58.324219 1669893114.3790
MEM 61.582031 1669893114.4793
MEM 65.816406 1669893114.5797
MEM 68.535156 1669893114.6800
MEM 73.375000 1669893114.7803
MEM 76.117188 1669893114.8806
MEM 77.535156 1669893114.9809
MEM 78.964844 1669893115.0812
MEM 82.988281 1669893115.1815
MEM 84.707031 1669893115.2818
MEM 86.468750 1669893115.3821
MEM 88.222656 1669893115.4825
MEM 89.511719 1669893115.5828
MEM 92.089844 1669893115.6831
MEM 94.910156 1669893115.7833
MEM 99.117188 1669893115.8836
MEM 102.464844 1669893115.9839
MEM 103.527344 1669893116.0842
MEM 105.437500 1669893116.1845
MEM 108.179688 1669893116.2848
MEM 111.726562 1669893116.3852
MEM 114.421875 1669893116.4856
MEM 119.746094 1669893116.5859
MEM 120.937500 1669893116.6863
MEM 122.699219 1669893116.7868
MEM 122.867188 1669893116.8873
MEM 123.062500 1669893116.9877
MEM 134.191406 1669893117.0880
MEM 140.800781 1669893117.1885
MEM 141.320312 1669893117.2888
MEM 141.667969 1669893117.3891
MEM 142.183594 1669893117.4894
MEM 143.890625 1669893117.5896
MEM 149.480469 1669893117.6900
MEM 150.050781 1669893117.7905
MEM 150.269531 1669893117.8911
MEM 150.269531 1669893117.9917
MEM 152.156250 1669893118.0921
MEM 154.898438 1669893118.1924
MEM 160.312500 1669893118.2927
MEM 162.789062 1669893118.3930
MEM 259.464844 1669893118.4933
MEM 259.855469 1669893118.5937
MEM 259.855469 1669893118.6941
MEM 259.855469 1669893118.7947
MEM 259.855469 1669893118.8953
MEM 259.855469 1669893118.9957
MEM 259.855469 1669893119.0961
MEM 259.855469 1669893119.1965
MEM 259.855469 1669893119.2968
MEM 259.855469 1669893119.3972
MEM 259.855469 1669893119.4975
MEM 259.855469 1669893119.5978
MEM 259.855469 1669893119.6981
MEM 259.855469 1669893119.7985
MEM 259.855469 1669893119.8987
MEM 259.855469 1669893119.9990
MEM 259.855469 1669893120.0993
MEM 259.855469 1669893120.1996
MEM 259.855469 1669893120.2999
MEM 259.855469 1669893120.4001
MEM 259.855469 1669893120.5004
MEM 259.855469 1669893120.6006
